donor_id,date,volunteer_ids,recipient_ids,part_food_types,part_weights,transport,scale
4,7/8/2012,14,5,,150,Bike,
2,7/8/2012,7,5,,150,Car,
3,7/8/2012,36,9,,75,Bike,
1,7/8/2012,13,8,,450,Bike,
4,7/9/2012,37,11,,0,Bike,
1,7/9/2012,39,12,Produce,250,Bike,
3,7/9/2012,41,14,Produce,30,Bike,
25,7/9/2012,40,,Baked Goods,26,Bike,
6,7/9/2012,32,7,Produce,200,Bike,
24,7/9/2012,40,,Fresh Prepared Food,15,Bike,
2,7/9/2012,32,15,Produce,0,Bike,
4,7/10/2012,15,,Produce,90,Bike,
19,7/10/2012,16,,Frozen Prepared Food,0,Bike,
2,7/10/2012,32,35,Produce,150,,
6,7/10/2012,46,15,Produce,0,Bike,
6,7/10/2012,46,15,Baked Goods,0,Bike,
3,7/10/2012,45,14,Produce,0,Bike,
1,7/10/2012,42,18,Produce,280,Bike,
19,7/10/2012,16,,,0,Bike,
3,7/10/2012,45,14,Produce,0,Bike,
1,7/10/2012,42,18,Produce,450,,
1,7/10/2012,42,18,Baked Goods,0,,
4,7/10/2012,15,,Produce,90,Bike,
6,7/11/2012,54,10,Baked Goods,0,Bike,
3,7/11/2012,52,14,Produce,4,Bike,
24,7/11/2012,53,39,Produce,14,Bike,
25,7/11/2012,53,39,Baked Goods,12,Bike,
2,7/11/2012,32,38,Produce,60,Bike,
1,7/11/2012,2,7,Produce,39,Bike,
6,7/11/2012,54,10,Produce,135,Bike,
1,7/11/2012,2,7,Baked Goods,0,Bike,
6,7/11/2012,28,,Produce,80,Bike,
4,7/11/2012,31,37,Produce,60,Bike,
43,7/11/2012,48,44,Frozen Prepared Food,55,Bike,
1,7/12/2012,12,10,Produce,10,Bike,
1,7/12/2012,12,10,Baked Goods,35,Bike,
27,7/12/2012,,18,Baked Goods,60,,
6,7/12/2012,12,,Produce,150,Bike,
3,7/12/2012,59,14,Produce,58,Bike,
36,7/12/2012,47,41,Produce,40,Car,
6,7/12/2012,2,7,Produce,121,Bike,
2,7/12/2012,57,38,Produce,158,Bike,
4,7/12/2012,56,10,Produce,0,Foot,
6,7/12/2012,2,7,Baked Goods,0,Bike,
27,7/12/2012,,18,Baked Goods,60,Bike,
2,7/13/2012,21,8,Produce,120,Bike,
24,7/13/2012,32,22,Fresh Prepared Food,0,Bike,
4,7/13/2012,19,20,Baked Goods,20,Bike,
27,7/13/2012,62,26,Baked Goods,25,Car,
1,7/13/2012,12,,Baked Goods,20,Bike,
6,7/13/2012,96,10,Baked Goods,0,Bike,
3,7/13/2012,26,14,Produce,57,Bike,
1,7/13/2012,19,10,Produce,160,Bike,
19,7/13/2012,20,28,Frozen Prepared Food,60,Bike,
6,7/13/2012,96,10,Produce,140,Bike,
25,7/13/2012,32,22,Baked Goods,0,Bike,
3,7/14/2012,62,,Produce,45,Bike,
6,7/14/2012,69,28,Baked Goods,30,Bike,
6,7/14/2012,31,26,Produce,130,Bike,
1,7/14/2012,28,26,Baked Goods,15,Bike,
4,7/14/2012,29,22,Produce,160,Bike,
6,7/14/2012,69,28,Produce,0,Bike,
25,7/14/2012,32,29,Baked Goods,5,,
1,7/14/2012,28,26,Produce,210,Bike,
6,7/14/2012,32,30,Produce,160,,
6,7/14/2012,32,30,Baked Goods,0,Bike,
2,7/14/2012,30,29,Produce,240,Car,
33,7/14/2012,,,Produce,60,Foot,
1,7/14/2012,81,,Produce,230,Bike,
55,7/14/2012,68,15,Produce,65,Bike,
24,7/14/2012,69,28,Fresh Prepared Food,0,Bike,
2,7/15/2012,7,5,Produce,160,Bike,
3,7/15/2012,36,9,Produce,15,Car,
6,7/15/2012,4,5,Produce,350,Car,
4,7/15/2012,14,5,Produce,190,Bike,
1,7/15/2012,13,8,Produce,335,Bike,
1,7/15/2012,13,8,Baked Goods,15,Bike,
6,7/15/2012,4,5,Baked Goods,0,Car,
2,7/16/2012,38,29,Produce,62,Car,
6,7/16/2012,32,7,Produce,310,,
6,7/16/2012,32,7,Baked Goods,0,,
1,7/16/2012,39,12,Produce,225,Bike,
24,7/16/2012,40,,Fresh Prepared Food,17,Bike,
1,7/16/2012,39,12,Baked Goods,0,Bike,
3,7/16/2012,41,14,Produce,0,Bike,
25,7/16/2012,40,,Baked Goods,23,Bike,
4,7/16/2012,80,11,Produce,40,Bike,
3,7/16/2012,32,14,Produce,55,Bike,
6,7/17/2012,32,15,Produce,110,,
19,7/17/2012,16,,Frozen Prepared Food,0,Bike,
4,7/17/2012,28,,Produce,110,Bike,
1,7/17/2012,42,18,Produce,450,Bike,
1,7/17/2012,42,18,Baked Goods,20,Bike,
6,7/17/2012,32,15,Baked Goods,0,,
2,7/17/2012,32,35,Produce,160,,
3,7/17/2012,45,14,Produce,0,Bike,
2,7/18/2012,67,38,Produce,95,Bike,
25,7/18/2012,53,39,Produce,12,Bike,
24,7/18/2012,53,39,Fresh Prepared Food,6,Bike,
6,7/18/2012,54,10,Produce,58,Bike,
6,7/18/2012,54,10,Baked Goods,40,Bike,
3,7/18/2012,52,14,Produce,78,Bike,
4,7/18/2012,31,37,Produce,55,Bike,
43,7/18/2012,48,44,Frozen Prepared Food,15,Bike,
1,7/18/2012,2,7,Baked Goods,0,Bike,
1,7/18/2012,2,7,Produce,121,Bike,
6,7/18/2012,28,,Baked Goods,0,Bike,
6,7/18/2012,55,,Produce,55,Bike,
1,7/19/2012,58,10,Produce,260,Bike,
27,7/19/2012,24,18,Baked Goods,18,Bike,
36,7/19/2012,47,41,Produce,70,Car,
6,7/19/2012,25,,Produce,25,Bike,
4,7/19/2012,56,10,Produce,3,Foot,
2,7/19/2012,57,38,Produce,120,Bike,
1,7/19/2012,58,10,Produce,260,Bike,
1,7/19/2012,58,10,Baked Goods,10,Bike,
3,7/19/2012,59,14,Produce,75,Bike,
6,7/19/2012,39,7,Baked Goods,0,Bike,
6,7/19/2012,39,7,Produce,115,Bike,
24,7/20/2012,32,22,Fresh Prepared Food,7,,
2,7/20/2012,21,8,Produce,150,Bike,
27,7/20/2012,32,26,Baked Goods,45,,
1,7/20/2012,67,20,Produce,100,Bike,
4,7/20/2012,87,20,Produce,60,,
19,7/20/2012,20,21,Frozen Prepared Food,0,Bike,
1,7/20/2012,25,,Baked Goods,15,Bike,
1,7/20/2012,65,14,Produce,121,Bike,
25,7/20/2012,32,22,Baked Goods,10,,
3,7/20/2012,26,14,Produce,0,Bike,
6,7/20/2012,96,10,Produce,110,Bike,
6,7/20/2012,96,10,Baked Goods,0,Bike,
1,7/21/2012,86,,Produce,0,,
55,7/21/2012,28,15,Produce,70,Bike,
6,7/21/2012,69,28,Baked Goods,3,Bike,
6,7/21/2012,32,30,Produce,90,,
33,7/21/2012,32,,Produce,260,,
2,7/21/2012,32,29,Produce,100,,
6,7/21/2012,32,30,Baked Goods,0,,
25,7/21/2012,32,29,Baked Goods,0,,
3,7/21/2012,12,,Produce,0,Bike,
1,7/21/2012,28,26,Produce,160,Bike,
1,7/21/2012,28,26,Baked Goods,25,Bike,
6,7/21/2012,31,26,Produce,160,Bike,
6,7/21/2012,69,28,Produce,2,Bike,
4,7/21/2012,29,22,Produce,165,Bike,
24,7/21/2012,69,28,Fresh Prepared Food,0,Bike,
6,7/22/2012,4,5,Produce,325,Car,
2,7/22/2012,7,5,Produce,10,Car,
1,7/22/2012,32,8,Produce,450,,
1,7/22/2012,32,8,Baked Goods,25,,
6,7/22/2012,4,5,Baked Goods,25,Car,
3,7/22/2012,52,9,Produce,17,Car,
4,7/22/2012,7,5,Produce,140,Car,
6,7/23/2012,32,7,Produce,215,,
6,7/23/2012,32,7,Baked Goods,0,,
2,7/23/2012,38,15,Produce,74,Bike,
1,7/23/2012,39,12,Produce,147,Bike,
4,7/23/2012,37,11,Produce,70,Bike,
25,7/23/2012,40,,Baked Goods,27,Bike,
1,7/23/2012,39,12,Baked Goods,30,Bike,
3,7/23/2012,41,14,Produce,0,Bike,
24,7/23/2012,40,,Fresh Prepared Food,0,Bike,
6,7/24/2012,65,15,Produce,185,Bike,
6,7/24/2012,65,15,Baked Goods,0,Bike,
1,7/24/2012,42,18,Produce,280,Bike,
1,7/24/2012,42,18,Baked Goods,15,Bike,
2,7/24/2012,87,35,Produce,300,,
19,7/24/2012,16,,Frozen Prepared Food,84,Bike,
4,7/24/2012,28,,Produce,80,Bike,
3,7/24/2012,45,14,Produce,0,Bike,
6,7/24/2012,46,15,Baked Goods,0,Bike,
4,7/25/2012,31,37,Produce,65,Bike,
25,7/25/2012,53,39,Baked Goods,4,Bike,
3,7/25/2012,52,14,Produce,138,Bike,
1,7/25/2012,2,7,Produce,138,Bike,
1,7/25/2012,2,7,Baked Goods,0,Bike,
6,7/25/2012,65,10,Produce,15,Bike,
6,7/25/2012,65,10,Baked Goods,65,Bike,
24,7/25/2012,53,39,Fresh Prepared Food,4,Bike,
43,7/25/2012,48,44,Frozen Prepared Food,5,Bike,
2,7/25/2012,,38,Produce,175,Bike,
6,7/25/2012,55,,Baked Goods,0,Bike,
6,7/25/2012,55,,Produce,55,Bike,
1,7/26/2012,32,10,Baked Goods,45,,
6,7/26/2012,25,,Produce,30,Bike,
6,7/26/2012,39,7,Baked Goods,0,Bike,
6,7/26/2012,39,7,Produce,160,Bike,
36,7/26/2012,47,41,Produce,205,Car,
1,7/26/2012,32,10,Produce,175,,
27,7/26/2012,,18,Baked Goods,50,,
4,7/26/2012,56,10,Produce,0,Bike,
3,7/26/2012,59,14,Produce,0,Bike,
2,7/26/2012,57,38,Produce,0,Bike,
27,7/26/2012,,18,Baked Goods,50,,
25,7/27/2012,32,22,Baked Goods,10,,
3,7/27/2012,32,14,Produce,40,,
24,7/27/2012,32,22,Fresh Prepared Food,8,,
27,7/27/2012,32,26,Baked Goods,50,,
1,7/27/2012,25,,Baked Goods,35,Bike,
19,7/27/2012,20,28,Fresh Prepared Food,30,Bike,
2,7/27/2012,65,8,Produce,65,Bike,
1,7/27/2012,86,10,Produce,6,Bike,
4,7/27/2012,32,20,Produce,65,,
6,7/27/2012,96,10,Baked Goods,0,Bike,
6,7/27/2012,96,10,Produce,160,Bike,
2,7/28/2012,32,29,Produce,100,,
25,7/28/2012,32,29,Baked Goods,10,,
6,7/28/2012,65,26,Produce,200,Bike,
55,7/28/2012,65,15,Produce,50,Bike,
1,7/28/2012,86,,Produce,3,Foot,
1,7/28/2012,28,26,Produce,105,Bike,
1,7/28/2012,28,26,Baked Goods,37,Bike,
6,7/28/2012,69,28,Produce,20,Bike,
33,7/28/2012,32,,Produce,60,,
6,7/28/2012,32,30,Produce,225,,
6,7/28/2012,32,30,Baked Goods,0,Bike,
3,7/28/2012,62,,Produce,12,Bike,
4,7/28/2012,29,22,Produce,0,Bike,
6,7/28/2012,69,28,Baked Goods,0,Bike,
24,7/28/2012,69,28,Fresh Prepared Food,0,Bike,
1,7/29/2012,32,8,Produce,400,Bike,
2,7/29/2012,7,5,Produce,100,Bike,
4,7/29/2012,14,5,Produce,140,Bike,
3,7/29/2012,52,9,Produce,0,Bike,
6,7/29/2012,4,5,Produce,200,Car,
6,7/29/2012,4,5,Baked Goods,0,Car,
4,7/30/2012,37,11,Produce,20,Bike,
6,7/30/2012,28,20,Produce,48,Bike,
6,7/30/2012,28,20,Baked Goods,0,Bike,
2,7/30/2012,38,15,Produce,82,Bike,
6,7/30/2012,32,7,Produce,210,,
1,7/30/2012,39,12,Baked Goods,15,Bike,
1,7/30/2012,39,12,Produce,65,Bike,
25,7/30/2012,40,,Baked Goods,10.5,Bike,
3,7/30/2012,41,14,Produce,0,Bike,
24,7/30/2012,40,,Fresh Prepared Food,12,Bike,
6,7/30/2012,32,7,Baked Goods,0,,
4,7/31/2012,32,,Produce,25,,
6,7/31/2012,46,15,Produce,90,Bike,
6,7/31/2012,46,15,Baked Goods,0,Bike,
2,7/31/2012,86,35,Produce,12,Bike,
1,7/31/2012,42,18,Produce,175,Bike,
1,7/31/2012,42,18,Baked Goods,15,Bike,
19,7/31/2012,16,,Frozen Prepared Food,0,Bike,
3,7/31/2012,45,14,Produce,0,Bike,
6,8/1/2012,86,10,Baked Goods,0,Bike,
6,8/1/2012,55,,Produce,75,Bike,
3,8/1/2012,52,14,Produce,102,Bike,
1,8/1/2012,39,7,Produce,130,Bike,
1,8/1/2012,39,7,Baked Goods,11,Bike,
43,8/1/2012,48,44,Frozen Prepared Food,50,Bike,
24,8/1/2012,53,39,Produce,6,Car,
25,8/1/2012,53,39,Baked Goods,0,Foot,
4,8/1/2012,31,37,Produce,45,Bike,
6,8/1/2012,55,,Baked Goods,0,Bike,
6,8/1/2012,86,10,Produce,0,Bike,
2,8/1/2012,,38,Produce,175,Bike,
27,8/2/2012,24,18,Baked Goods,0,Bike,
6,8/2/2012,2,7,Produce,39,Bike,
6,8/2/2012,2,7,Baked Goods,0,Bike,
1,8/2/2012,58,10,Produce,140,Bike,
1,8/2/2012,58,10,Baked Goods,30,Bike,
36,8/2/2012,47,41,Produce,145,Car,
2,8/2/2012,57,38,Produce,135,Bike,
4,8/2/2012,56,10,Produce,56,Foot,
6,8/2/2012,25,,Produce,30,Bike,
3,8/2/2012,59,14,Produce,45,Bike,
2,8/3/2012,21,8,Produce,90,Bike,
24,8/3/2012,32,22,Fresh Prepared Food,10,,
25,8/3/2012,32,22,Baked Goods,7,,
3,8/3/2012,32,14,Produce,15,,
1,8/3/2012,19,20,Produce,140,Bike,
1,8/3/2012,25,,Baked Goods,35,Bike,
6,8/3/2012,96,10,Baked Goods,0,Bike,
27,8/3/2012,32,26,Baked Goods,60,,
4,8/3/2012,19,20,Produce,25,Bike,
6,8/3/2012,96,10,Produce,190,Bike,
19,8/3/2012,41,28,Frozen Prepared Food,0,Bike,
2,8/4/2012,12,29,Produce,155,Bike,
4,8/4/2012,32,22,Produce,60,,
33,8/4/2012,32,,Produce,290,,
6,8/4/2012,31,26,Produce,185,Bike,
1,8/4/2012,28,26,Baked Goods,25,Car,
3,8/4/2012,31,,Produce,30,Bike,
6,8/4/2012,32,30,Produce,270,,
6,8/4/2012,32,30,Baked Goods,0,,
55,8/4/2012,28,15,Produce,98,Car,
1,8/4/2012,86,,Produce,0,Bike,
25,8/4/2012,32,29,Baked Goods,5,,
1,8/4/2012,28,26,Produce,190,Car,
6,8/4/2012,69,28,Produce,25,Bike,
6,8/4/2012,69,28,Baked Goods,15,Car,
24,8/4/2012,69,28,Fresh Prepared Food,0,Bike,
1,8/5/2012,32,8,Produce,70,,
2,8/5/2012,7,5,Produce,50,Bike,
4,8/5/2012,14,,Produce,40,Car,
6,8/5/2012,4,5,Produce,400,Car,
6,8/5/2012,4,5,Baked Goods,0,Car,
3,8/5/2012,36,9,Produce,0,Bike,
6,8/6/2012,71,20,Produce,25,Bike,
6,8/6/2012,3,7,Produce,50,Bike,
3,8/6/2012,41,14,Produce,0,Bike,
4,8/6/2012,37,11,Produce,70,Car,
25,8/6/2012,40,,Baked Goods,6.5,Bike,
2,8/6/2012,12,15,Produce,0,Bike,
1,8/6/2012,21,12,Produce,5,Bike,
1,8/6/2012,21,12,Baked Goods,20,Bike,
6,8/6/2012,3,7,Baked Goods,0,Bike,
6,8/6/2012,71,20,Baked Goods,0,Bike,
24,8/6/2012,40,,Fresh Prepared Food,20,Bike,
4,8/7/2012,65,5,Produce,120,Bike,
2,8/7/2012,86,35,Produce,1,Bike,
3,8/7/2012,45,14,Produce,0,Bike,
19,8/7/2012,16,,Frozen Prepared Food,0,Bike,
6,8/7/2012,46,15,Baked Goods,25,Bike,
6,8/7/2012,46,15,Produce,210,Bike,
1,8/7/2012,42,18,Baked Goods,20,Bike,
1,8/7/2012,42,18,Produce,50,Bike,
6,8/7/2012,26,,Baked Goods,0,Bike,
6,8/7/2012,26,,Produce,0,Bike,
3,8/8/2012,52,14,Produce,27,Bike,
6,8/8/2012,86,10,Baked Goods,0,Bike,
25,8/8/2012,53,39,Baked Goods,5,Bike,
6,8/8/2012,28,,Produce,50,Bike,
24,8/8/2012,53,39,Fresh Prepared Food,6,Bike,
2,8/8/2012,,38,Produce,208,Bike,
6,8/8/2012,55,,Baked Goods,0,Bike,
4,8/8/2012,31,37,Produce,80,Bike,
43,8/8/2012,48,44,Frozen Prepared Food,0,Bike,
6,8/8/2012,86,10,Produce,3,Bike,
1,8/8/2012,2,7,Produce,360,Bike,
1,8/8/2012,2,7,Baked Goods,0,Bike,
6,8/9/2012,28,,Produce,75,Bike,
6,8/9/2012,21,14,Produce,484,Car,
1,8/9/2012,58,10,Produce,140,Bike,
36,8/9/2012,47,41,Produce,90,Car,
27,8/9/2012,24,18,Baked Goods,35,Bike,
1,8/9/2012,58,10,Baked Goods,30,Bike,
3,8/9/2012,59,14,Produce,41,Bike,
2,8/9/2012,57,38,Produce,125,Car,
4,8/9/2012,32,10,Produce,0,Bike,
6,8/9/2012,21,7,Produce,200,Bike,
2,8/10/2012,39,8,Produce,120,Bike,
6,8/10/2012,96,10,Produce,200,Bike,
6,8/10/2012,96,10,Baked Goods,0,Bike,
3,8/10/2012,32,14,Produce,0,,
1,8/10/2012,28,,Baked Goods,35,Bike,
4,8/10/2012,19,20,Produce,25,Bike,
1,8/10/2012,19,20,Produce,260,Bike,
19,8/10/2012,20,28,Frozen Prepared Food,0,Bike,
27,8/10/2012,32,26,Baked Goods,40,,
25,8/10/2012,32,22,Baked Goods,0,,
24,8/10/2012,32,22,Fresh Prepared Food,0,,
4,8/11/2012,32,22,Produce,170,,
2,8/11/2012,86,29,Produce,0,Bike,
1,8/11/2012,86,,Produce,12,Bike,
24,8/11/2012,69,28,Fresh Prepared Food,0,Bike,
25,8/11/2012,32,29,Baked Goods,5,,
6,8/11/2012,31,26,Produce,160,Bike,
6,8/11/2012,69,28,Produce,40,Bike,
33,8/11/2012,32,,Produce,250,,
6,8/11/2012,36,30,Produce,120,Bike,
3,8/11/2012,31,,Produce,110,Foot,
55,8/11/2012,62,15,Produce,80,Bike,
6,8/11/2012,69,28,Baked Goods,3,Bike,
1,8/11/2012,28,26,Produce,180,Bike,
1,8/11/2012,28,26,Baked Goods,25,Bike,
6,8/11/2012,36,30,Baked Goods,120,Bike,
3,8/12/2012,52,9,Produce,0,Bike,
6,8/12/2012,4,5,Produce,445,Car,
4,8/12/2012,14,,Produce,75,Bike,
2,8/12/2012,7,5,Produce,120,Bike,
1,8/12/2012,13,8,Produce,355,Bike,
1,8/12/2012,13,8,Baked Goods,15,Bike,
6,8/12/2012,4,5,Baked Goods,50,Car,
1,8/13/2012,2,12,Produce,40,Bike,
25,8/13/2012,40,,Baked Goods,20,Bike,
6,8/13/2012,3,7,Produce,170,Bike,
1,8/13/2012,39,12,Baked Goods,0,Bike,
6,8/13/2012,3,7,Baked Goods,0,Bike,
4,8/13/2012,37,11,Produce,0,Bike,
3,8/13/2012,41,14,Produce,30,Bike,
6,8/13/2012,71,20,Baked Goods,0,Bike,
2,8/13/2012,38,15,Produce,145,Bike,
6,8/13/2012,71,20,Produce,240,Bike,
24,8/13/2012,40,,Fresh Prepared Food,15,Bike,
6,8/14/2012,26,,Produce,180,Bike,
2,8/14/2012,86,35,Produce,2,Bike,
1,8/14/2012,42,18,Baked Goods,40,Bike,
6,8/14/2012,46,15,Produce,300,Car,
6,8/14/2012,46,15,Baked Goods,0,Bike,
6,8/14/2012,26,,Produce,180,Bike,
3,8/14/2012,89,14,Produce,82,Car,
19,8/14/2012,16,,Frozen Prepared Food,0,Bike,
1,8/14/2012,42,18,Produce,150,Bike,
4,8/14/2012,38,5,Produce,145,Bike,
3,8/15/2012,52,14,Produce,46,Bike,
24,8/15/2012,53,39,Fresh Prepared Food,3,Bike,
1,8/15/2012,39,7,Baked Goods,0,Bike,
6,8/15/2012,55,,Produce,0,Bike,
4,8/15/2012,31,37,Produce,50,Bike,
6,8/15/2012,54,10,Produce,300,Car,
6,8/15/2012,54,10,Baked Goods,0,Bike,
25,8/15/2012,53,39,Baked Goods,2,Bike,
1,8/15/2012,39,7,Produce,250,Bike,
6,8/15/2012,55,,Baked Goods,0,Bike,
2,8/15/2012,,38,Produce,75,Bike,
43,8/15/2012,48,44,Frozen Prepared Food,20,Bike,
33,8/15/2012,,58,Produce,80,Bike,
6,8/16/2012,71,,Produce,90,Bike,
6,8/16/2012,12,7,Baked Goods,0,Bike,
4,8/16/2012,32,10,Produce,0,,
1,8/16/2012,58,10,Baked Goods,10,Bike,
36,8/16/2012,81,41,Produce,140,Bike,
1,8/16/2012,58,10,Produce,205,Bike,
6,8/16/2012,12,7,Produce,200,Bike,
3,8/16/2012,59,14,Produce,38,Bike,
27,8/16/2012,24,18,Baked Goods,20,Bike,
2,8/16/2012,57,38,Produce,350,Bike,
25,8/17/2012,32,22,Baked Goods,0,,
1,8/17/2012,71,,Baked Goods,25,Bike,
24,8/17/2012,32,22,Fresh Prepared Food,0,,
2,8/17/2012,21,8,Produce,0,Bike,
4,8/17/2012,19,20,Produce,0,,
1,8/17/2012,19,20,Produce,200,Bike,
3,8/17/2012,31,14,Produce,63,Bike,
27,8/17/2012,27,26,Baked Goods,0,Bike,
19,8/17/2012,20,28,Frozen Prepared Food,0,,
6,8/17/2012,81,10,Produce,35,Bike,
6,8/17/2012,81,10,Baked Goods,200,Car,
3,8/18/2012,4,,Produce,75,Car,
1,8/18/2012,86,,Produce,0,,
33,8/18/2012,81,,Produce,110,Bike,
6,8/18/2012,2,30,Baked Goods,0,,
55,8/18/2012,68,15,Produce,55,Bike,
6,8/18/2012,12,26,Produce,50,Bike,
4,8/18/2012,29,22,Produce,175,Bike,
2,8/18/2012,30,29,Produce,200,Bike,
33,8/18/2012,12,,Produce,0,,
1,8/18/2012,28,26,Baked Goods,10,Bike,
6,8/18/2012,69,28,Baked Goods,20,,
1,8/18/2012,28,26,Produce,120,Bike,
6,8/18/2012,69,28,Produce,60,Car,
25,8/18/2012,30,29,Baked Goods,15,Bike,
6,8/18/2012,2,30,Produce,127,Bike,
24,8/18/2012,69,28,Fresh Prepared Food,0,,
3,8/19/2012,52,9,Produce,36,Bike,
48,8/19/2012,31,,Fresh Prepared Food,0,Bike,
48,8/19/2012,31,,Frozen Prepared Food,0,Bike,
4,8/19/2012,14,,Produce,125,Bike,
2,8/19/2012,7,5,Produce,150,Car,
1,8/19/2012,12,8,Produce,260,Bike,
1,8/19/2012,12,8,Baked Goods,30,Bike,
6,8/19/2012,4,5,Baked Goods,0,,
6,8/19/2012,4,5,Produce,615,Car,
6,8/20/2012,71,20,Produce,0,,
6,8/20/2012,98,7,Produce,120,Bike,
6,8/20/2012,98,7,Baked Goods,0,Bike,
2,8/20/2012,38,15,Produce,65,Bike,
6,8/20/2012,71,20,Baked Goods,0,,
25,8/20/2012,40,,Baked Goods,17.5,Bike,
3,8/20/2012,41,14,Produce,23,Bike,
1,8/20/2012,39,12,Produce,80,,
1,8/20/2012,39,12,Baked Goods,10,,
4,8/20/2012,37,11,Produce,0,,
24,8/20/2012,40,,Fresh Prepared Food,12,Bike,
4,8/21/2012,68,5,Produce,82,Bike,
2,8/21/2012,86,35,Produce,12,,
6,8/21/2012,46,15,Produce,180,Car,
6,8/21/2012,46,15,Baked Goods,20,Car,
3,8/21/2012,89,14,Produce,62.8,Bike,
1,8/21/2012,42,18,Produce,120,Bike,
1,8/21/2012,42,18,Baked Goods,25,Bike,
6,8/21/2012,26,,Produce,75,,
6,8/21/2012,26,,Produce,75,Bike,
19,8/21/2012,16,,Frozen Prepared Food,0,,
3,8/22/2012,52,14,Produce,56,Bike,
25,8/22/2012,53,39,Baked Goods,2,Foot,
1,8/22/2012,39,7,Produce,40,Bike,
1,8/22/2012,39,7,Baked Goods,0,,
6,8/22/2012,54,10,Produce,15,Bike,
6,8/22/2012,54,10,Baked Goods,60,Bike,
6,8/22/2012,55,,Produce,0,,
33,8/22/2012,,58,Produce,70,Bike,
4,8/22/2012,31,37,Produce,50,Bike,
6,8/22/2012,55,,Produce,40,Bike,
33,8/22/2012,,58,Produce,70,,
24,8/22/2012,53,39,Fresh Prepared Food,2,Foot,
43,8/22/2012,48,44,Frozen Prepared Food,0,,
2,8/23/2012,57,38,Produce,70,Bike,
27,8/23/2012,24,18,Baked Goods,25,,
6,8/23/2012,65,7,Baked Goods,0,Bike,
